,Vehicle_ID,Frame_ID,Tot_Frames,Epoch_ms,Local_X,Local_Y,Global_X,Global_Y,Veh_Len,Veh_Wid,Veh_Class,Veh_Velocity,Vehicle_Acc,Lane_ID,Org_Zone,Dest_Zone,Intersection,Section,Direction,Movement,Preceding_Veh,Following_Veh,Spacing,Headway
234117,794,6236,1494,1163653900,-24.12,232.94099999999997,2230508.769,1375768.8090000001,15.0,7.0,2,21.38,-10.48,0,114,223,1,0,4,3,0,0,0.0,0.0
234362,805,4805,1514,1163510800,-22.075,2057.83,2230769.963,1377513.023,16.0,6.5,2,27.9,0.0,2,114,201,5,0,4,1,794,0,84.3,3.02
234491,805,4934,1514,1163523700,-13.946,1651.7820000000002,2230819.308,1377112.426,16.0,6.5,2,37.56,1.11,0,114,201,4,0,4,1,0,0,0.0,0.0
234646,805,5089,1514,1163539200,-24.831,1243.373,2230804.4080000003,1376710.9340000001,16.0,6.5,2,40.19,12.27,0,114,201,3,0,4,1,0,0,0.0,0.0
235023,805,5466,1514,1163576900,-25.388,777.4019999999999,2230569.022,1376313.939,16.0,6.5,2,6.17,2.57,0,114,201,2,0,4,1,0,0,0.0,0.0
235818,805,6261,1514,1163656400,-24.622,233.69299999999998,2230508.405,1375769.625,16.0,6.5,2,24.19,-10.02,0,114,201,1,0,4,1,0,0,0.0,0.0
236242,813,4826,1503,1163512900,-20.839000000000002,2057.297,2230771.266,1377512.685,15.5,7.0,2,32.21,0.0,2,114,201,5,0,4,1,794,0,143.35,4.45
236368,813,4952,1503,1163525500,-13.585999999999999,1652.921,2230819.627,1377113.429,15.5,7.0,2,30.61,3.68,0,114,201,4,0,4,1,0,0,0.0,0.0
236521,813,5105,1503,1163540800,-25.249000000000002,1244.098,2230804.099,1376711.753,15.5,7.0,2,44.56,12.27,0,114,201,3,0,4,1,0,0,0.0,0.0
236897,813,5481,1503,1163578400,-25.912,776.921,2230567.804,1376312.66,15.5,7.0,2,11.17,10.02,0,114,201,2,0,4,1,0,0,0.0,0.0
237695,813,6279,1503,1163658200,-24.054000000000002,232.69299999999998,2230508.79,1375768.549,15.5,7.0,2,22.93,-10.39,0,114,201,1,0,4,1,0,0,0.0,0.0
